<s> ALL,-2.57865
<s> ANN,-2.57865
<s> ARRIVE,-2.393294
<s> FRANK,-2.686028
<s> FUTURE,-2.436356
<s> IX,-1.193625
<s> IX-1P,-2.649797
<s> JOHN,-0.2530479
<s> LAST-WEEK,-2.57865
<s> LIKE,-2.531642
<s> LOVE,-1.438428
<s> MANY,-2.57865
<s> MARY,-1.328288
<s> NAME,-2.57865
<s> NEXT-WEEK,-2.57865
<s> PEOPLE,-2.531642
<s> POSS,-2.395555
<s> SHOOT,-2.57865
<s> SOMETHING-ONE,-1.352287
<s> SUE,-2.712613
<s> TEACHER,-2.558964
<s> TELL,-2.686028
<s> VEGETABLE,-2.531642
<s> WHAT,-1.201027
<s> WHO,-1.208557
<s> WOMAN,-2.481391
ALL BOY,-0.5518924
ANN BLAME,-0.5501289
APPLE </s>,-0.6411042
APPLE WHO,-0.790768
ARRIVE </s>,-0.2794441
ARRIVE HERE,-0.4822398
ARRIVE NOT,-1.578803
ARRIVE WHO,-1.684689
BILL MARY,-1.02194
BILL SAY,-1.135135
BILL WHAT,-1.001447
BILL YESTERDAY,-1.102399
BLAME </s>,-0.7389119
BLAME FRED,-1.019907
BLAME MARY,-0.9277027
BLUE </s>,-0.4356411
BOOK </s>,-0.0594274
BOOK PUTASIDE,-1.552337
BOOK WHAT,-1.506554
BORROW VIDEOTAPE,-0.5518924
BOX </s>,-0.6869672
BOY BOOK,-0.8096579
BOY GIVE,-0.8096579
BREAK-DOWN </s>,-0.4356411
BROCCOLI </s>,-0.4356411
BROTHER ARRIVE,-0.9453852
BUT CAN,-0.5466028
BUY CAR,-1.617252
BUY HOUSE,-0.2489575
BUY IX,-1.346049
BUY WHAT,-1.37811
BUY YESTERDAY,-1.491534
CAN </s>,-0.8903723
CAN BUY,-1.209172
CAN EAT,-1.296092
CAN GET,-1.303413
CAN GO,-1.245699
CANDY </s>,-0.4356411
CAR </s>,-0.8475416
CAR BLUE,-1.567098
CAR BREAK-DOWN,-1.567098
CAR FUTURE,-1.334219
CAR STOLEN,-1.567098
CHICAGO </s>,-0.4356411
CHICKEN </s>,-0.4356411
CHINA IX,-0.5031928
CHOCOLATE </s>,-0.6411042
CHOCOLATE WHO,-0.790768
COAT </s>,-0.4356411
CORN </s>,-0.6869672
DECIDE VISIT,-0.5396354
EAT BUT,-1.019907
EAT CHICKEN,-1.019907
EAT WHAT,-0.9111316
FIND SOMETHING-ONE,-0.5431051
FINISH READ,-1.016379
FINISH SEE,-1.01126
FINISH VISIT,-0.981585
FISH WONT,-0.5518924
FRANK </s>,-0.6411042
FRANK POSS,-0.8227236
FRED IX,-0.5031928
FRIEND POSS,-0.5396354
FUTURE </s>,-0.3384877
FUTURE BUY,-1.399984
FUTURE FINISH,-1.477274
FUTURE GO,-1.432672
FUTURE JOHN,-1.327637
FUTURE NOT,-1.597069
GET CAN,-0.5466028
GIRL BOX,-0.846559
GIRL GIVE,-0.8096579
GIVE BOY,-1.489169
GIVE GIRL,-1.489169
GIVE GIVE,-1.422493
GIVE IX,-1.21021
GIVE JANA,-1.650739
GIVE JOHN,-1.239836
GIVE TEACHER,-1.489169
GO CAN,-1.37037
GO FUTURE,-1.346164
GO IX,-1.128538
GO MOVIE,-1.418671
GO NEW-YORK,-1.418671
GO PARTY,-1.418671
GO SHOULD,-1.54195
GROUP GIVE,-0.532778
HAVE BOOK,-1.090499
HAVE VIDEOTAPE,-1.013222
HERE </s>,-0.4356411
HIT BLAME,-0.5501289
HOMEWORK </s>,-0.4356411
HOUSE </s>,-0.6411042
HOUSE SELL,-0.846559
IX </s>,-0.4362733
IX BOOK,-1.71679
IX CAR,-1.72479
IX GIRL,-1.896142
IX GIVE,-1.650539
IX HAVE,-1.867263
IX HIT,-1.917014
IX IX,-1.455831
IX JOHN,-1.531844
IX LIKE,-1.982488
IX MAN,-1.917014
IX NEW,-1.896142
IX PEOPLE,-1.867263
IX SAY-1P,-1.917014
IX SOMETHING-ONE,-1.767291
IX THINK,-1.917014
IX WHO,-1.558617
IX WOMAN,-1.914768
IX-1P BUY,-1.077851
IX-1P FIND,-1.139779
IX-1P KNOW,-1.135135
IX-1P SEE,-1.128419
JANA TOY,-0.5531
JOHN </s>,-1.146085
JOHN ARRIVE,-1.732713
JOHN BOX,-2.026305
JOHN BROTHER,-2.026305
JOHN BUY,-1.773379
JOHN CAN,-1.92487
JOHN DECIDE,-2.053001
JOHN FISH,-2.053001
JOHN FUTURE,-1.868296
JOHN GIVE,-1.732713
JOHN GO,-0.9411936
JOHN IX,-1.505036
JOHN LEAVE,-2.053001
JOHN LIKE,-2.091462
JOHN LOVE,-0.9475133
JOHN MARY,-1.599958
JOHN MOTHER,-1.989934
JOHN NOT,-1.92487
JOHN PAST,-2.053001
JOHN POSS,-1.818249
JOHN PREFER,-1.92487
JOHN READ,-2.026305
JOHN SAY,-2.026305
JOHN SEARCH-FOR,-2.053001
JOHN SEE,-1.055832
JOHN SHOULD,-1.989934
JOHN VISIT,-1.883949
JOHN WANT,-2.053001
JOHN WHO,-1.629539
JOHN WILL,-2.053001
JOHN WRITE,-2.053001
JOHN YESTERDAY,-1.868296
KNOW IX,-0.8559464
LAST-WEEK JOHN,-0.5193796
LEAVE IX,-0.5031928
LEG </s>,-0.4356411
LIKE </s>,-0.8416237
LIKE CHOCOLATE,-1.462982
LIKE CORN,-1.296092
LIKE IX,-1.062008
LIKE MARY,-1.129386
LIVE CHICAGO,-0.5531
LOVE </s>,-1.112115
LOVE IX,-1.265639
LOVE JOHN,-1.327637
LOVE MARY,-0.3785428
LOVE WHAT,-1.301767
LOVE WHO,-1.341174
MAN IX,-0.5031928
MANY PEOPLE,-0.5501289
MARY </s>,-0.2780419
MARY BILL,-1.754951
MARY BLAME,-1.74008
MARY IX-1P,-1.74008
MARY JOHN,-1.533395
MARY LOVE,-1.843782
MARY SELF,-1.765401
MARY VEGETABLE,-1.74008
MARY VISIT,-1.659757
MARY WONT,-1.754951
MOTHER ARRIVE,-1.090499
MOTHER IX,-0.8666248
MOVIE </s>,-0.6411042
MOVIE TOMORROW,-0.8489423
NAME </s>,-0.4356411
NEW CAR,-0.8227236
NEW COAT,-0.8489423
NEW-YORK </s>,-0.4356411
